"name","address","addressUrl","email","phone","website2","hoursOfOperation","website"
"zero-hour","Cusseta AL 36852","https://www.google.com/maps/search/?api=1&query=+Cusseta+AL+36852","jkbanks1978@gmail.com","","","[]",
"alaska-lone-wolfs","AK","https://www.google.com/maps/search/?api=1&query=++AK","","","","[]",
"field-of-awesome","2711 Garnet Drive North Pole AK 99705","https://www.google.com/maps/search/?api=1&query=2711+Garnet+Drive+North+Pole+AK+99705","AlaskaFamilyAirsoft@gmail.com","907-351-8625","facebook.com","[]","https://www.facebook.com/AlaskaFamilyAirsoftNP/"
"interior-alaska-airsoft-llc","Fairbanks AK 99705","https://www.google.com/maps/search/?api=1&query=+Fairbanks+AK+99705","interiorairsoft@gmail.com","907-322-2042","interioralaskaairsoft.com","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""12:00pm -\n\t\t\t\t6:00pm""}]","https://www.interioralaskaairsoft.com/"
"american-paintball-coliseum-phoenix","2915 E Washington St Phoenix AZ 85034","https://www.google.com/maps/search/?api=1&query=2915+E+Washington+St+Phoenix+AZ+85034","apcpaintball@gmail.com","6022755285","americanpaintballcoliseum.com","[{""day"":""Sunday"",""time"":""11:00am -\n\t\t\t\t6:00pm""},{""day"":""Monday"",""time"":""11:00am -\n\t\t\t\t8:00pm""},{""day"":""Tuesday"",""time"":""11:00am -\n\t\t\t\t8:00pm""},{""day"":""Wednesday"",""time"":""11:00am -\n\t\t\t\t8:00pm""},{""day"":""Thursday"",""time"":""11:00am -\n\t\t\t\t8:00pm""},{""day"":""Friday"",""time"":""11:00am -\n\t\t\t\t8:00pm""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t8:00pm""}]","http://www.americanpaintballcoliseum.com/phoenix-arizona-indoor-and-outdoor-paintball-fields/"
"argonauts-arena","North Old Home Manor Drive Chino Valley AZ 86323","https://www.google.com/maps/search/?api=1&query=North+Old+Home+Manor+Drive+Chino+Valley+AZ+86323","info@ichorairsoft.com","","ichorairsoft.com","[{""day"":""Sunday"",""time"":""10:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t5:00pm""}]","http://www.ichorairsoft.com/field"
"battle-zone-airsoft-and-paintball-fields","2215 S 39th Ave Phoenix AZ 85009","https://www.google.com/maps/search/?api=1&query=2215+S+39th+Ave+Phoenix+AZ+85009","","6028632569","azbattlezone.com","[{""day"":""Sunday"",""time"":""8:00am -\n\t\t\t\t3:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""8:00am -\n\t\t\t\t3:00pm""}]","http://www.azbattlezone.com/"
"brady-eakins","","","","","","[]",
"cordes-junction-1v1-2v2-private-field","","","","","","[]",
"disruptive-paintball-and-airsoft","10218 West Tangerine Road Marana AZ 85653","https://www.google.com/maps/search/?api=1&query=10218+West+Tangerine+Road+Marana+AZ+85653","info@disruptiveproductsinc.com","520-293-5850","disruptiveairsoft.com","[{""day"":""Sunday"",""time"":""8:30pm -\n\t\t\t\t11:30am""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""8:30am -\n\t\t\t\t8:00pm""}]","http://www.disruptiveairsoft.com/"
"fightertown-paintball-and-airsoft","","","","","","[]",
"freedom-airsoft","7850 E Valencia Rd Tucson AZ 85747","https://www.google.com/maps/search/?api=1&query=7850+E+Valencia+Rd+Tucson+AZ+85747","freedomairsoftoftucson@gmail.com","520-704-5798","freedomairsofttucson.com","[{""day"":""Sunday"",""time"":""2:00pm -\n\t\t\t\t6:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""6:00pm -\n\t\t\t\t10:00pm""},{""day"":""Saturday"",""time"":""8:00am -\n\t\t\t\t10:30pm""}]","http://www.freedomairsofttucson.com/"
"jesus","Tucson AZ 85713","https://www.google.com/maps/search/?api=1&query=+Tucson+AZ+85713","","","","[]",
"tactical-funhouse","13601 N 19th Ave Phoenix AZ 85029","https://www.google.com/maps/search/?api=1&query=13601+N+19th+Ave+Phoenix+AZ+85029","thefunhouseteam@gmail.com","6029935787","tacticalfunhouse.com","[{""day"":""Sunday"",""time"":""12:00pm -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""11:00am -\n\t\t\t\t7:00pm""}]","http://www.tacticalfunhouse.com/"
"vipairsoft-gilbert","3841 E. Baseline Rd. Suite K-133 Gilbert AZ 85234","https://www.google.com/maps/search/?api=1&query=3841+E.+Baseline+Rd.+Suite+K-133+Gilbert+AZ+85234","info@vipairsoft.net","480-507-9420","vipairsoft.net","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t10:00pm""}]","http://vipairsoft.net/"
"vipairsoft-phoenix","10870 N 32nd St Phoenix AZ 85028","https://www.google.com/maps/search/?api=1&query=10870+N+32nd+St+Phoenix+AZ+85028","info@vipairsoft.net","602-491-9149","vipairsoft.net","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t10:00pm""}]","https://vipairsoft.net/"
"wild-west-paintball-and-airsoft-park","19283 East Elliot Road Mesa AZ 85212","https://www.google.com/maps/search/?api=1&query=19283+East+Elliot+Road+Mesa+AZ+85212","","602-733-7972","wwpaintballairsoft.com","[{""day"":""Sunday"",""time"":""8:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://www.wwpaintballairsoft.com/"
"cross-tactical-airsoft","255 Bonds Dr Blevins AR 71825","https://www.google.com/maps/search/?api=1&query=255+Bonds+Dr+Blevins+AR+71825","","","crosstacticalairsoft.wixsite.com","[]","http://crosstacticalairsoft.wixsite.com/crosstacticalairsoft"
"steven-quillen","Broadway Street North Harrison AR 72601","https://www.google.com/maps/search/?api=1&query=Broadway+Street+North+Harrison+AR+72601","","","","[]",
"airsoft-extreme-arena","3390 B Keller Street Santa Clara CA 95054","https://www.google.com/maps/search/?api=1&query=3390+B+Keller+Street+Santa+Clara+CA+95054","aexsc@airsoftextreme.com","408-492-9282","airsoftextreme.com","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""11:00am -\n\t\t\t\t7:00pm""},{""day"":""Tuesday"",""time"":""11:00am -\n\t\t\t\t7:00pm""},{""day"":""Wednesday"",""time"":""11:00am -\n\t\t\t\t7:00pm""},{""day"":""Thursday"",""time"":""11:00am -\n\t\t\t\t7:00pm""},{""day"":""Friday"",""time"":""11:00am -\n\t\t\t\t7:00pm""},{""day"":""Saturday"",""time"":""11:00am -\n\t\t\t\t7:00pm""}]","http://www.airsoftextreme.com/pages/aex-santa-clara#Arena"
"airsoft-ministry","4555 PFE Rd Roseville CA 95747","https://www.google.com/maps/search/?api=1&query=4555+PFE+Rd+Roseville+CA+95747","airsoftministrycom@gmail.com","916-742-3109","airsoftministry.com","[{""day"":""Sunday"",""time"":""11:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://airsoftministry.com/"
"ambush-airsoft-park","8643 Shekell Rd Moorpark CA 93021","https://www.google.com/maps/search/?api=1&query=8643+Shekell+Rd+Moorpark+CA+93021","","805-259-3200","ambushairsoftpark.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://ambushairsoftpark.com/"
"ambush-paintball-and-airsoft-park","8643 Shekell Road Moorpark CA 93021","https://www.google.com/maps/search/?api=1&query=8643+Shekell+Road+Moorpark+CA+93021","info@ambushpaintballpark.com","805-259-3200","ambushpaintballpark.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://ambushpaintballpark.com/"
"ao13","2120 San Benito Street Hollister CA 95023","https://www.google.com/maps/search/?api=1&query=2120+San+Benito+Street+Hollister+CA+95023","","","tag-paintball.com","[{""day"":""Sunday"",""time"":""10:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://www.tag-paintball.com/ao13home.html"
"code-red-airsoft-park","681 East Ellis Avenue Perris CA 92570","https://www.google.com/maps/search/?api=1&query=681+East+Ellis+Avenue+Perris+CA+92570","randy@coderedairsoftpark.com","760-241-9097","coderedairsoftpark.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t4:00pm""}]","http://www.coderedairsoftpark.com/"
"combat-paintball-park","31050 Charlie Canyon Road Castaic CA 91384","https://www.google.com/maps/search/?api=1&query=31050+Charlie+Canyon+Road+Castaic+CA+91384","combatpaintballpark@gmail.com","800-289-3199","playcpp.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t4:00pm""}]","http://playcpp.com/airsoft/"
"cqb-city","3200 East Eight Mile Rd Stockton CA 95212","https://www.google.com/maps/search/?api=1&query=3200+East+Eight+Mile+Rd+Stockton+CA+95212","chief@cqbcity.com","925-457-4832","cqbcity.com","[{""day"":""Sunday"",""time"":""8:30am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""11:00am -\n\t\t\t\t7:00pm""},{""day"":""Thursday"",""time"":""11:00am -\n\t\t\t\t10:00pm""},{""day"":""Friday"",""time"":""11:00am -\n\t\t\t\t11:30pm""},{""day"":""Saturday"",""time"":""8:30am -\n\t\t\t\t4:00pm""}]","http://cqbcity.com/"
"fort-ord","2860 2nd Ave Marina CA 93933","https://www.google.com/maps/search/?api=1&query=2860+2nd+Ave+Marina+CA+93933","rhp_sanjose@hotmail.com","408-497-3277","cqbchallenge.com","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""7:00am -\n\t\t\t\t5:00pm""}]","http://www.cqbchallenge.com/"
"fresno-airsoft","West Annadale Avenue Kerman CA 93630","https://www.google.com/maps/search/?api=1&query=West+Annadale+Avenue+Kerman+CA+93630","","559-307-7895","","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t3:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""6:00pm -\n\t\t\t\t10:00pm""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t3:00pm""}]",
"gamepod-combat-zone","1400 W. 4th Street Unit 2 Antioch CA 94509","https://www.google.com/maps/search/?api=1&query=1400+W.+4th+Street+Unit+2+Antioch+CA+94509","gpcz@gamepod.com","925-784-5550","combatzonecqc.com","[{""day"":""Sunday"",""time"":""8:30am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""6:30pm -\n\t\t\t\t11:00pm""},{""day"":""Thursday"",""time"":""6:30pm -\n\t\t\t\t11:00pm""},{""day"":""Friday"",""time"":""6:30pm -\n\t\t\t\t11:00pm""},{""day"":""Saturday"",""time"":""8:30am -\n\t\t\t\t9:00pm""}]","http://www.combatzonecqc.com/"
"giant-airsoft-hollywood-sports","9030 Sommerset Blvd Bellflower CA 90706","https://www.google.com/maps/search/?api=1&query=9030+Sommerset+Blvd+Bellflower+CA+90706","info@hollywoodsports.com","562-867-9600","hollywoodsports.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t8:00pm""},{""day"":""Monday"",""time"":""4:30pm -\n\t\t\t\t9:00pm""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""4:30pm -\n\t\t\t\t9:00pm""},{""day"":""Friday"",""time"":""12:00pm -\n\t\t\t\t9:00pm""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t10:00pm""}]","http://www.hollywoodsports.com/"
"giant-airsoft-san-diego","1800 Wildcat Canyon Rd Lakeside CA 92040","https://www.google.com/maps/search/?api=1&query=1800+Wildcat+Canyon+Rd+Lakeside+CA+92040","info@giantsportz.com","562-867-9600","giantpaintball.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t4:00pm""}]","http://www.giantpaintball.com/airsoft/"
"gladiator-paintball-park","San Luis Obispo CA 93405","https://www.google.com/maps/search/?api=1&query=+San+Luis+Obispo+CA+93405","","805-602-8629","gladiatorpb.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""5:00pm -\n\t\t\t\t11:00pm""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t5:00pm""}]","https://www.gladiatorpb.com/airsoft-2/"
"hill-559","11504 Millerton Road Clovis CA 93619","https://www.google.com/maps/search/?api=1&query=11504+Millerton+Road+Clovis+CA+93619","","209-544-1348","","[]",
"johnsmith","CA","https://www.google.com/maps/search/?api=1&query=++CA","","","","[]",
"jungle-island-airsoft-park","14881 Temescal Canyon Rd Lake Elsinore CA 92530","https://www.google.com/maps/search/?api=1&query=14881+Temescal+Canyon+Rd+Lake+Elsinore+CA+92530","info@jungle-island.com","877-308-7914","jungle-island.com","[{""day"":""Sunday"",""time"":""8:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""8:00am -\n\t\t\t\t4:00pm""}]","http://www.jungle-island.com/index.php"
"mike-force-airsoft-club","7020 Valle Pacifico Road Salinas CA 93907","https://www.google.com/maps/search/?api=1&query=7020+Valle+Pacifico+Road+Salinas+CA+93907","kingsensei@aol.com","","mikeforceairsoft.org","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t3:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://www.mikeforceairsoft.org/"
"mr-paintball-usa","25320 Lake Wohlford Rd Escondido CA 92027","https://www.google.com/maps/search/?api=1&query=25320+Lake+Wohlford+Rd+Escondido+CA+92027","serop@mrpaintballusa.com","760-737-8870","mrpaintballusa.com","[{""day"":""Sunday"",""time"":""8:30am -\n\t\t\t\t3:30pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""8:30am -\n\t\t\t\t3:30pm""}]","http://www.mrpaintballusa.com/"
"nra-airsoft","41612 102nd Street East Palmdale CA 93591","https://www.google.com/maps/search/?api=1&query=41612+102nd+Street+East+Palmdale+CA+93591","NRA.airsoft@gmail.com","808-357-0114","instagram.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","https://www.instagram.com/nra_airsoft?igsh=MzRlODBiNWFlZA=="
"playland-707","471 Kenilworth Drive Petaluma CA 94952","https://www.google.com/maps/search/?api=1&query=471+Kenilworth+Drive+Petaluma+CA+94952","management@playland707.com","707-238-5088","playland707.com","[{""day"":""Sunday"",""time"":""10:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t5:00pm""}]","http://www.playland707.com/"
"poso-creek-airsoft-gorilla-airsoft","24587 Round Mountain Rd Bakersfield CA 93308","https://www.google.com/maps/search/?api=1&query=24587+Round+Mountain+Rd+Bakersfield+CA+93308","jerry@gorillapaintball.com","661-323-1066","gorillaairsoft.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t3:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""Closed""}]","http://www.gorillaairsoft.com/"
"project-n1","12440 Exline St El Monte CA 91732","https://www.google.com/maps/search/?api=1&query=12440+Exline+St+El+Monte+CA+91732","ProjectN1.coi@gmail.com","626-542-3404","n1airsoft.com","[{""day"":""Sunday"",""time"":""1:00pm -\n\t\t\t\t10:00pm""},{""day"":""Monday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Tuesday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Wednesday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Thursday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Friday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Saturday"",""time"":""1:00pm -\n\t\t\t\t11:00pm""}]","http://www.n1airsoft.com/"
"redding-airsoft","19000 Spring Gulch Rd Anderson CA 96007","https://www.google.com/maps/search/?api=1&query=19000+Spring+Gulch+Rd+Anderson+CA+96007","","","","[]",
"sac-county-airsoft","Elk Grove CA 95624","https://www.google.com/maps/search/?api=1&query=+Elk+Grove+CA+95624","","","Www.saccountyairsoft.com","[]","http://www.saccountyairsoft.com/"
"sc-village","8900 McCarty Rd Chino CA 91710","https://www.google.com/maps/search/?api=1&query=8900+McCarty+Rd+Chino+CA+91710","","949-489-9000","scvillage.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t9:00pm""}]","http://www.scvillage.com/"
"specops-live-play","Cleveland Avenue Oakdale CA 95361","https://www.google.com/maps/search/?api=1&query=Cleveland+Avenue+Oakdale+CA+95361","","","","[]",
"stryker-paintball-and-airsoft","17081 South Mountain Rd. Santa Paula CA 93066","https://www.google.com/maps/search/?api=1&query=17081+South+Mountain+Rd.+Santa+Paula+CA+93066","jesse@strykerpa.com","805-217-4029","strykerpa.com","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t4:00pm""}]","http://www.strykerpa.com/"
"tac-city-airsoft","2430 Artesia Ave  Fullerton CA 92833","https://www.google.com/maps/search/?api=1&query=2430+Artesia+Ave++Fullerton+CA+92833","TacCityAirsoft@gmail.com","657-888-6111","taccityairsoft.com","[{""day"":""Sunday"",""time"":""3:00pm -\n\t\t\t\t10:00pm""},{""day"":""Monday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Tuesday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Wednesday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Thursday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Friday"",""time"":""5:00pm -\n\t\t\t\t10:00pm""},{""day"":""Saturday"",""time"":""3:00pm -\n\t\t\t\t10:00pm""}]","http://www.taccityairsoft.com/"
"tag-adventure-park","San Benito Street Hollister CA 95023","https://www.google.com/maps/search/?api=1&query=San+Benito+Street+Hollister+CA+95023","","","","[{""day"":""Sunday"",""time"":""9:00am -\n\t\t\t\t4:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t4:00pm""}]",
